Name    Riseb   Fadeb   ΔFIR/Frms   ΔFIR    z   MBH PAGN    Spectro.
AT2019dsg	58620.2	32.1	81.9	92.2	1.58 ± 0.02	0.0512	6.74 (C21)	0.000	TDE
AT2019gur	58607.5	–	234.5	38.6	0.34 ± 0.01	–	–	0.000	–
AT2018lof	58608.2	70.9	370.4	4.1	0.15 ± 0.01	0.302	8.98 (L19)	6.078	AGN
AT2019dqv	58628.2	67.0	475.0	40.4	1.77 ± 0.02	0.0816	6.67 (L19)	0.000	TDE?
AT2019cyq	58637.2	49.5	95.0	31.8	0.54 ± 0.01	0.262	7.56 (L19)	0.000	TDE?
AT2021aeug	58641.2	48.6	68.8	4.6	0.11 ± 0.01	–	–	5.900	–
AT2019ihv	58646.5	–	19.3	8.7	0.29 ± 0.01	0.1602	–	1.395	–
AT2019dzh	58651.2	51.4	348.9	6.4	0.15 ± 0.01	0.314	–	3.659	–
AT2019kqu	58652.2	95.6	315.6	6.1	0.27 ± 0.01	0.174	7.53 (L19)	3.996	TDE?
AT2019hbh	58652.3	19.8	106.7	8.4	0.75 ± 0.01	–	–	1.556	–
AT2020aezz	58677.3	99.8	280.6	5.8	0.18 ± 0.01	–	–	4.405	–
AT2020afaa	58678.2	83.8	330.3	7.0	0.13 ± 0.02	–	–	2.830	–
AT2019idm	58682.2	51.7	–	25.2	0.41 ± 0.02	0.0544	6.64 (T13)	0.000	TDE?
AT2019ihu	58709.5	79.7	110.9	6.2	0.25 ± 0.02	0.27	8.90 (L19)	3.843	AGN
AT2019meh	58713.1	23.2	127.9	29.7	1.99 ± 0.04	0.0935	7.06 (V23)	0.000	TDE?
AT2020afab	58717.2	47.5	127.2	5.0	0.22 ± 0.01	0.2875	6.49 (V23)	5.432	TDE?
AT2019aami	58717.4	–	152.0	31.8	0.41 ± 0.01	–	–	0.000	–
AT2019nna	58717.4	34.4	87.1	27.0	0.36 ± 0.01	–	–	0.000	–
AT2019nni	58732.2	29.1	109.5	4.9	0.36 ± 0.01	0.137	–	5.489	–
AT2021aeuk	58733.1	43.4	238.1	7.3	0.33 ± 0.01	0.235	–	2.464	–
AT2019hdy	58749.5	–	87.9	4.0	0.20 ± 0.01	0.442	–	6.000	–
AT2019pev	58750.1	13.1	54.7	7.4	0.19 ± 0.01	0.097	6.40 (F20)	2.364	TDE?
AT2019qiz	58753.1	11.9	34.7	44.4	2.14 ± 0.04	0.01499	6.19 (N20)	0.000	TDE
AT2019brs	58758.1	110.9	483.2	9.6	0.78 ± 0.01	0.3736	7.20 (F20)	1.060	TDE?
AT2020afac	58758.3	68.0	95.0	10.8	0.16 ± 0.01	–	–	0.802	–
AT2019wrd	58764.3	82.6	–	7.6	0.15 ± 0.01	–	–	2.197	–
AT2021aeuh	58789.5	–	–	3.9	0.28 ± 0.01	0.0834	7.39 (L19)	5.867	TDE?
AT2019msq	58791.2	137.9	–	6.4	0.16 ± 0.01	–	–	3.586	–
AT2019qpt	58798.3	44.5	135.1	13.8	0.24 ± 0.01	0.242	6.97 (L19)	0.341	TDE?
AT2020afad	58802.2	77.1	125.5	3.7	0.08 ± 0.01	–	–	5.216	–
AT2019mss	58811.6	35.2	209.7	20.8	0.38 ± 0.01	–	–	0.004	–
AT2019thh	58851.1	104.7	433.8	72.2	1.75 ± 0.02	0.0506	–	0.000	TDE?
AT2021aeui	58860.3	–	60.0	6.2	0.49 ± 0.02	–	–	3.899	–
AT2020afae	58867.2	30.2	42.0	5.2	0.35 ± 0.02	–	–	5.200	–
AT2020mw	58867.3	12.6	32.1	6.8	0.12 ± 0.01	–	–	3.061	–
AT2020iq	58878.1	22.7	71.5	24.5	0.45 ± 0.01	0.096	6.37 (V23)	0.000	TDE?
AT2019xgg	58891.2	81.6	446.2	4.4	0.13 ± 0.01	–	–	6.003	–
AT2020atq	58903.2	39.3	205.5	20.8	0.66 ± 0.01	–	–	0.003	–
AT2021aeuj	58974.2	79.0	233.5	18.1	0.20 ± 0.01	0.695	–	0.032	–
AT2020hle	58978.3	32.7	62.9	21.0	0.33 ± 0.01	0.103	6.40 (F20)	0.003	TDE?
